qs,qs_short,pid
Timestamp,timestamp,FALSE
Email Address,psu_email,FALSE
What is your name?,name,FALSE
Which days of the bootcamp will you attend?,attend_days,TRUE
Any meal/food restrictions?,food_restrictions,TRUE
Workshop session 1 - Day 1 @ 1:45 pm,day_1_session_1,FALSE
Workshop session 2 - Day 1 @ 3:00 pm,day_1_session_2,FALSE
Workshop session 3 - Day 2 @ 1:15 pm,day_2_session_3,FALSE
Workshop session 4 - Day 2 @ 2:45 pm,day_2_session_4,FALSE
Workshop session 5 - Day 3 @ 10:45 1m,day_3_session_5,FALSE
attend_wed,attend_wed,TRUE
attend_thu,attend_thu,TRUE
attend_fri,attend_fri,TRUE
add_to_listserv,add_to_listserv,TRUE
added_to_listserv,added_to_listserv,TRUE
